definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Inglis_Maddison Gatica_Barbara
Bouchard_Eugenie Ganz_Fiona
Ayukawa_Mana Drazic_Mariana
Olyanovskaya_Valeriya Sofia_Ana
Naef_Celine Salkova_Dominika
Pieri_Tatiana Bhunu_Valeria
Bartone_Kamilla Mandlik_Elizabeth
Sabino_Lisa Oliynykova_Oleksandra
Middendorf_Julia Andreeva_Erika
Crescenzi_Giulia Ponchet_Jessika
Doi_Misaki Galfi_Dalma
Arcangioli_Manon Sonmez_Zeynep
Caregaro_Martina Burdina_Evgeniya
Kobayashi_Honoka Hourigan_Paige
Falkner_Ziva Berberovic_Nefisa
Loredana_Ioana Chang_Kai-chen
Sun_Xuliu Appleton_Emily
Snigur_Daria Inoue_Miyabi
Gadecki_Olivia Bilardo_Federica
Vekic_Donna Kilnarova_Monica
Meri_Eszter Golubic_Viktorija
Sukhotina_Anastasia Broady_Naomi
McNally_Catherine Popovic_Ivana
Barnett_Alicia Bellis_Catherine
Albie_Audrey Branstine_Carson
Ianchuk_Olga Carter_Hayley
Hertel_Anna Gamarra_Ingrid
Hsu_Chieh-yu Katic_Vlada
Dagan_Mika Kissell_Joelle
Cuk_Pia Parres_Olga
Bartunkova_Nikola Simmonds_Chanel
Hu_Victoria Ueda_Ramu
Mitu_Andreea Kajuru_Ange
Deichmann_Kathinka Kerber_Angelique
Suvrijn_Jade Cabrera_Lizette
Reasco_Mell Morvayova_Viktoria
Kruger_Isabella Cepelova_Jana
Armitano_Mathilde Lizarazo_Yuliana
Brodsky_Gail Jorovic_Ivana
Kanev_Kathleen Parry_Diane
Raggi_Angelica Osborne_Alexandra
Heisen_Vivian Bai_Alison
Christie_Freya Flink_Varvara
Andreescu_Bianca Shoshyna_Anastasiya
Samsonova_Ludmilla Lemoine_Quirine
Rey_Alba Yang_Yidi
Omae_Akiko Palkina_Ksenia
Shimizu_Ayano Brengle_Madison
Zavatska_Katarina Kudermetova_Veronika
Park_Sohyun Lacasse_Raphaelle
Hesse_Amandine Garland_Joanna
Subhash_Natasha Vesnina_Elena
Livianu_Jessica Cheapchandej_Patcharin
Kazionova_Ekaterina Demidova_Diana
Ponomar_Lisa Hosonuma_Chisa
Georgeta_Oana Laskutova_Ksenia
Kung_Leonie Zvonareva_Vera
Sun_Lulu Paolini_Jasmine
Vandeweghe_CoCo Morderger_Yana
Minella_Mandy Gillan_Alice
Sugnaux_Tess Colmegna_Martina
Montez_Pamela Zidansek_Tamara
Bejlek_Sara Schader_Laura
Bayerlova_Michaela Stosur_Samantha
Bouchard_Eugenie Inglis_Maddison
Olyanovskaya_Valeriya Ayukawa_Mana
Naef_Celine Pieri_Tatiana
Sabino_Lisa Bartone_Kamilla
Crescenzi_Giulia Middendorf_Julia
Doi_Misaki Arcangioli_Manon
Caregaro_Martina Kobayashi_Honoka
Falkner_Ziva Loredana_Ioana
Snigur_Daria Sun_Xuliu
Gadecki_Olivia Vekic_Donna
Meri_Eszter Sukhotina_Anastasia
Barnett_Alicia McNally_Catherine
Ianchuk_Olga Albie_Audrey
Hsu_Chieh-yu Hertel_Anna
Dagan_Mika Cuk_Pia
Bartunkova_Nikola Hu_Victoria
Deichmann_Kathinka Mitu_Andreea
Reasco_Mell Suvrijn_Jade
Armitano_Mathilde Kruger_Isabella
Kanev_Kathleen Brodsky_Gail
Raggi_Angelica Heisen_Vivian
Andreescu_Bianca Christie_Freya
Samsonova_Ludmilla Rey_Alba
Omae_Akiko Shimizu_Ayano
Park_Sohyun Zavatska_Katarina
Hesse_Amandine Subhash_Natasha
Livianu_Jessica Kazionova_Ekaterina
Ponomar_Lisa Georgeta_Oana
Sun_Lulu Kung_Leonie
Minella_Mandy Vandeweghe_CoCo
Sugnaux_Tess Montez_Pamela
Bejlek_Sara Bayerlova_Michaela
Bouchard_Eugenie Olyanovskaya_Valeriya
Naef_Celine Sabino_Lisa
Doi_Misaki Crescenzi_Giulia
Caregaro_Martina Falkner_Ziva
Snigur_Daria Gadecki_Olivia
Barnett_Alicia Meri_Eszter
Hsu_Chieh-yu Ianchuk_Olga
Dagan_Mika Bartunkova_Nikola
Reasco_Mell Deichmann_Kathinka
Kanev_Kathleen Armitano_Mathilde
Andreescu_Bianca Raggi_Angelica
Samsonova_Ludmilla Omae_Akiko
Hesse_Amandine Park_Sohyun
Livianu_Jessica Ponomar_Lisa
Minella_Mandy Sun_Lulu
Sugnaux_Tess Bejlek_Sara
Naef_Celine Bouchard_Eugenie
Caregaro_Martina Doi_Misaki
Snigur_Daria Barnett_Alicia
Hsu_Chieh-yu Dagan_Mika
Kanev_Kathleen Reasco_Mell
Samsonova_Ludmilla Andreescu_Bianca
Hesse_Amandine Livianu_Jessica
Sugnaux_Tess Minella_Mandy
Naef_Celine Caregaro_Martina
Snigur_Daria Hsu_Chieh-yu
Kanev_Kathleen Samsonova_Ludmilla
Hesse_Amandine Sugnaux_Tess
Snigur_Daria Naef_Celine
Kanev_Kathleen Hesse_Amandine
Kanev_Kathleen Snigur_Daria
afficher_matchs_joueuse Londres 2019 Doi_Misaki
enregistrement_tournoi New-York 2019
Milovanovic_Elena Bakhmutkina_Polina
Nagy_Adrienn Bolkvadze_Mariam
Ying_Fang Leonard_Manon
Fernanda_Maria Gasparyan_Margarita
Garcia_Caroline Radanovic_Dejana
Osborne_Alexandra Bihan_Kelia
Guo_Shanshan Papamichail_Despina
Klincov_Bojana Wang_Yafan
Friedsam_Anna-Lena Lantigua_Ana
Bhatia_Riya Khromacheva_Irina
Fernandez_Leylah Drummy_Georgia
Haddad_Beatriz Vicens_Rosa
Saez_Olga Failla_Jessica
Weedon_Andrea Van_Chanelle
Gambogi_Sara Bartunkova_Nikola
Paulina_Maria Guillermo_Lorraine
Doroshina_Olga Cabaj_Jacqueline
Ormaechea_Paula Romeo_Caroline
Kraus_Sinja Jebawy_Jasmin
Droguet_Aubane Ozaki_Risa
Bondarenko_Kateryna Maria_Patricia
Grammatikopoulou_Valentini Inoue_Miyabi
Errani_Sara Plazas_Jessica
Kubareva_Anna Rosatello_Camilla
Hogenkamp_Richel Liang_En-shuo
Kenin_Sofia Kulambayeva_Zhibek
Kanapatskaya_Viktoriya Keys_Madison
Wurth_Tara Krueger_Ashlyn
Skamlova_Chantal Burel_Clara
Szabanin_Natalia Cuk_Pia
Hennemann_Caijsa Morisaki_Kanako
Sukhotina_Anastasia Sevastova_Anastasija
Brady_Jennifer Chernyshova_Maryna
Georges_Myrtille Zarazua_Renata
Garland_Joanna Kanev_Kathleen
Ignatik_Alexandra Duval_Victoria
Middendorf_Julia Mishina_Daria
Makarova_Ekaterina Minella_Mandy
PantuCkova_Magdalena Helgø_Malene
Bouchard_Eugenie Wagner_Stephanie
Taylor_Gabriella Boulter_Katie
Seibold_Emily Sama_Sathwika
Rogers_Shelby Halbauer_Elizabeth
Ponomar_Lisa Udvardy_Panna
Yadlapalli_Pranjala Amiraghyan_Ani
Wirges_Angelina Gatto-Monticone_Giulia
Perrin_Conny Bogdan_Ana
Luikham_Jennifer Partaud_Marine
Sakellaridi_Sapfo Antonitsch_Mira
Lorenzo_Francesca Riske_Alison
Eraydin_Basak Day_Kayla
Danilina_Anna Thandi_Karman
Liu_Claire Jeong_Sunam
Nefedova_Anastasia Glatch_Alexa
Zidansek_Tamara Jang_Su-Jeong
Smith_Alicia Tilbuerger_Jantje
Bolsova_Aliona Glushko_Julia
Hsu_Chieh-yu Brancaccio_Nuria
Kolodynska_Jana Kalita_Anhelina
Bandecchi_Susan Stojanovic_Nina
Scholl_Chiara Kozaki_Funa
Puig_Monica Muramatsu_Chihiro
Omae_Akiko Townsend_Taylor
Giovine_Claudia Jakupovic_Dalila
Nagy_Adrienn Milovanovic_Elena
Fernanda_Maria Ying_Fang
Garcia_Caroline Osborne_Alexandra
Guo_Shanshan Klincov_Bojana
Friedsam_Anna-Lena Bhatia_Riya
Haddad_Beatriz Fernandez_Leylah
Weedon_Andrea Saez_Olga
Paulina_Maria Gambogi_Sara
Ormaechea_Paula Doroshina_Olga
Droguet_Aubane Kraus_Sinja
Grammatikopoulou_Valentini Bondarenko_Kateryna
Errani_Sara Kubareva_Anna
Kenin_Sofia Hogenkamp_Richel
Wurth_Tara Kanapatskaya_Viktoriya
Szabanin_Natalia Skamlova_Chantal
Sukhotina_Anastasia Hennemann_Caijsa
Georges_Myrtille Brady_Jennifer
Ignatik_Alexandra Garland_Joanna
Makarova_Ekaterina Middendorf_Julia
PantuCkova_Magdalena Bouchard_Eugenie
Taylor_Gabriella Seibold_Emily
Rogers_Shelby Ponomar_Lisa
Wirges_Angelina Yadlapalli_Pranjala
Perrin_Conny Luikham_Jennifer
Lorenzo_Francesca Sakellaridi_Sapfo
Eraydin_Basak Danilina_Anna
Nefedova_Anastasia Liu_Claire
Smith_Alicia Zidansek_Tamara
Hsu_Chieh-yu Bolsova_Aliona
Bandecchi_Susan Kolodynska_Jana
Scholl_Chiara Puig_Monica
Omae_Akiko Giovine_Claudia
Nagy_Adrienn Fernanda_Maria
Guo_Shanshan Garcia_Caroline
Haddad_Beatriz Friedsam_Anna-Lena
Weedon_Andrea Paulina_Maria
Droguet_Aubane Ormaechea_Paula
Grammatikopoulou_Valentini Errani_Sara
Wurth_Tara Kenin_Sofia
Sukhotina_Anastasia Szabanin_Natalia
Ignatik_Alexandra Georges_Myrtille
PantuCkova_Magdalena Makarova_Ekaterina
Rogers_Shelby Taylor_Gabriella
Perrin_Conny Wirges_Angelina
Eraydin_Basak Lorenzo_Francesca
Smith_Alicia Nefedova_Anastasia
Bandecchi_Susan Hsu_Chieh-yu
Scholl_Chiara Omae_Akiko
Nagy_Adrienn Guo_Shanshan
Weedon_Andrea Haddad_Beatriz
Grammatikopoulou_Valentini Droguet_Aubane
Sukhotina_Anastasia Wurth_Tara
PantuCkova_Magdalena Ignatik_Alexandra
Rogers_Shelby Perrin_Conny
Eraydin_Basak Smith_Alicia
Scholl_Chiara Bandecchi_Susan
Nagy_Adrienn Weedon_Andrea
Sukhotina_Anastasia Grammatikopoulou_Valentini
PantuCkova_Magdalena Rogers_Shelby
Eraydin_Basak Scholl_Chiara
Sukhotina_Anastasia Nagy_Adrienn
Eraydin_Basak PantuCkova_Magdalena
Eraydin_Basak Sukhotina_Anastasia
afficher_matchs_joueuse New-York 2019 Romeo_Caroline
enregistrement_tournoi Melbourne 2020
Mitu_Andreea Gavrilova_Daria
Pulchartova_Laetitia Vukovic_Draginja
Lourdes_Maria Pigossi_Laura
Ezzat_Yasmin Thandi_Karman
Vidmanova_Darja Schader_Laura
Rubini_Stefania Jeanjean_Leolia
Oz_Ipek Guerrero_Eva
Ivakhnenko_Valentyna Chirico_Louisa
Gambogi_Sara Paoletti_Matilde
Stokke_Melanie Cherubini_Diletta
Kubareva_Anna Dolehide_Caroline
Belgraver_Julie Stojanovic_Nina
Lizarazo_Yuliana Aiava_Destanee
Bilardo_Federica Seguel_Daniela
Dunne_Katy Orpana_Oona
Klasen_Anna Helmi_Olga
Bolkvadze_Mariam Bouchard_Eugenie
Masarova_Rebeka Georgeta_Oana
Njiric_Silvia Namigata_Junri
Bandecchi_Susan Yamaguchi_Mei
Spigarelli_Martina Turati_Bianca
Naef_Celine Ying_Fang
Zarycka_Anastasia Ianchuk_Olga
Tauson_Clara Scholsen_Helene
Bondarenko_Kateryna Gonzalez_Montserrat
Klincov_Bojana Cortez_Lucia
Estable_Julieta Buzarnescu_Mihaela
Romeo_Caroline Bulgaru_Miriam
Stosur_Samantha Monroy_Yuliana
Reami_Adriana Sabalenka_Aryna
Cako_Jacqueline Bhosale_Rutuja
Okamura_Kyoka Hoedt_Merel
Smith_Alicia Shibahara_Ena
Bara_Irina Akita_Shiho
Vondrousova_Marketa Liu_Chang
Vesnina_Elena Khirin_Nicole
Scala_Camilla Malmqvist_Linnea
Martincova_Tereza Doi_Misaki
Glatch_Alexa Scilipoti_Sebastianna
Cadar_Elena-teodora Shapatava_Sofia
Sekulic_Sarah-Rebecca Kennel_Karin
Strycova_Barbora Cervino_Celia
Fruhvirtova_Linda Cakarevic_Sara
Siedliska_Natalia Kruzhkova_Daria
Reasco_Mell Ma_Shuyue
Danilovic_Olga Hobgarski_Katharina
Anshba_Amina Aikawa_Mayuka
Wirges_Angelina Bernardi_Clothilde 
Vickery_Sachia Pavlyuchenkova_Anastasia
Kanapatskaya_Viktoriya HoraCkova_Gabriela
Flink_Varvara Cengiz_Berfu
Kasatkina_Daria Deichmann_Kathinka
Visscher_Stephanie Bejlek_Sara
Jorge_Francisca Arakawa_Haruna
Murta_Ines Savinykh_Valeria
Hondo_Sakura Day_Kayla
Popovic_Ivana Kudermetova_Polina
Eraydin_Basak Ozaki_Risa
Hirata_Ayumi Sanesi_Gaia
Schoofs_Bibiane Sanders_Storm
Livianu_Jessica Carreras_Amanda
Pribylova_Anastasia Chikaraishi_Yui
Duerst_Jenny Ferrando_Cristiana
Haas_Barbara Tilbuerger_Jantje
Pulchartova_Laetitia Mitu_Andreea
Ezzat_Yasmin Lourdes_Maria
Vidmanova_Darja Rubini_Stefania
Ivakhnenko_Valentyna Oz_Ipek
Stokke_Melanie Gambogi_Sara
Belgraver_Julie Kubareva_Anna
Bilardo_Federica Lizarazo_Yuliana
Klasen_Anna Dunne_Katy
Bolkvadze_Mariam Masarova_Rebeka
Njiric_Silvia Bandecchi_Susan
Naef_Celine Spigarelli_Martina
Tauson_Clara Zarycka_Anastasia
Klincov_Bojana Bondarenko_Kateryna
Estable_Julieta Romeo_Caroline
Reami_Adriana Stosur_Samantha
Cako_Jacqueline Okamura_Kyoka
Smith_Alicia Bara_Irina
Vondrousova_Marketa Vesnina_Elena
Martincova_Tereza Scala_Camilla
Glatch_Alexa Cadar_Elena-teodora
Strycova_Barbora Sekulic_Sarah-Rebecca
Siedliska_Natalia Fruhvirtova_Linda
Danilovic_Olga Reasco_Mell
Anshba_Amina Wirges_Angelina
