definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Murray_Samantha Astakhova_Darya
Milovanovic_Elena Boisson_Lois
Kania_Paula Kudashova_Daria
Parry_Diane Grana_Thaisa
Abduraimova_Nigina Arruabarrena_Lara
Antonitsch_Mira Kozarov_Katarina
Spiteri_Dalila Kajuru_Ange
Aikawa_Mayuka Njiric_Silvia
Lamens_Suzan Juvan_Kaja
Burillo_Irene Ccuno_Romina
Kalita_Anhelina Detiuc_Anastasia
Bondarenko_Maria Primorac_Iva
Stamatova_Julia Abanda_Françoise
Berankova_Karolina Baptiste_Hailey
Gadecki_Olivia Hourigan_Paige
Burdina_Evgeniya Evtimova_Dia
Meri_Eszter Burrage_Jodie
Andreeva_Erika Naef_Celine
Shapatava_Sofia Kanapatskaya_Viktoriya
Hennemann_Caijsa Lukas_Tena
Zhang_Ying Martincova_Tereza
Vekic_Donna Melnikova_Marina
Ene_Cristina Celik_Susanne
Stollar_Fanny Amiraghyan_Ani
Danilovic_Olga Alves_Carolina
Gasanova_Anastasia Ayukawa_Mana
Bosio_Victoria Korpatsch_Tamara
Berberovic_Nefisa Drahota_Dorka
Akugue_Noma Sakkari_Maria
Koval_Vlada Chavatipon_Charlotte
Zlochova_Zuzana Soylu_İpek
Fung_Stacey Camila_Maria
Kovinic_Danka Delai_Melania
Rossi_Federica Golubic_Viktorija
Cristina_Paula Shalimova_Ekaterina
Bogdan_Ana Krueger_Ashlyn
Shimizu_Ayano Sekulic_Sarah-Rebecca
Vanlangendonck_Eliessa Custic_Marta
Branstine_Carson Kolodziejova_Miriam
Yushchenko_Valeriya Timofeeva_Maria
Aksu_Ayla Morita_Ayumi
Inoue_Hina Brady_Jennifer
Shymanovich_Iryna Ozaki_Risa
Kruger_Isabella Dolehide_Caroline
Gatica_Barbara Tikhonova_Anastasia
Kurata_Nathaly Douglas_Ellie
Lazaro_Andrea Murta_Ines
Kudermetova_Polina Bouzkova_Marie
Da_Gabriella Selekhmeteva_Oksana
Hibino_Nao Bulgaru_Miriam
Dema_Viktoriia Pieri_Tatiana
Talbi_Shalimar Turati_Anna
Katic_Vlada Spigarelli_Martina
Matsuda_Misaki Sharipova_Sabina
Contreras_Fernanda Giovine_Claudia
Hanatani_Nagi Kang_Jiaqi
Burel_Clara Ferrando_Cristiana
Sun_Xuliu Ushijima_Risa
Yamaguchi_Mei Jones_Francesca
Bencic_Belinda Brito_Fernanda
Liu_Fangzhou Gabric_Anna
Helgø_Malene Bucsa_Cristina
Volynets_Katie Bondar_Anna
Sakellaridi_Sapfo Ostapenko_Jeļena
Murray_Samantha Milovanovic_Elena
Kania_Paula Parry_Diane
Antonitsch_Mira Abduraimova_Nigina
Spiteri_Dalila Aikawa_Mayuka
Burillo_Irene Lamens_Suzan
Bondarenko_Maria Kalita_Anhelina
Stamatova_Julia Berankova_Karolina
Burdina_Evgeniya Gadecki_Olivia
Meri_Eszter Andreeva_Erika
Shapatava_Sofia Hennemann_Caijsa
Vekic_Donna Zhang_Ying
Stollar_Fanny Ene_Cristina
Gasanova_Anastasia Danilovic_Olga
Berberovic_Nefisa Bosio_Victoria
Koval_Vlada Akugue_Noma
Fung_Stacey Zlochova_Zuzana
Kovinic_Danka Rossi_Federica
